strategy,runId,transactions,firstAttemptSuccessRate,successRate,responseTimeMean_ms,responseTimeMeanSuccessOnly_ms,responseTimeP95_ms,responseTimeP95SuccessOnly_ms,failoverLatencyMean_ms,retriedTransactions,adaptationLatencyMean_tx,adaptationLatencyCount,recoveryTimeMean_tx,recoveryTimeCount
single-provider,single-provider-run-1,10000,0.9434,0.9434,45.2801,4.102289590841637,6,6,,0,49.5,2,1,2
single-provider,single-provider-run-10,10000,0.9408,0.9408,41.7805,3.720982142857143,5,5,,0,9.5,2,1,1
single-provider,single-provider-run-2,10000,0.9479,0.9479,52.7192,4.133136406793966,7,6,,0,12.5,2,1,1
single-provider,single-provider-run-3,10000,0.942,0.942,39.6889,4.016029723991507,7,6,,0,5.5,2,1,2
single-provider,single-provider-run-4,10000,0.9392,0.9392,36.3126,3.9503833049403747,6,6,,0,24.5,2,1,2
single-provider,single-provider-run-5,10000,0.9472,0.9472,52.7234,3.813450168918919,6,6,,0,14.5,2,1,2
single-provider,single-provider-run-6,10000,0.9425,0.9425,49.4405,3.5450397877984083,5,5,,0,15.5,2,1,2
single-provider,single-provider-run-7,10000,0.9476,0.9476,58.3909,3.4635922330097086,5,4,,0,21,2,1,2
single-provider,single-provider-run-8,10000,0.9396,0.9396,36.077,3.687100893997446,5,5,,0,13,2,1,2
single-provider,single-provider-run-9,10000,0.942,0.942,40.3869,3.526008492569002,5,4,,0,37,2,1,1
static-rule-based,static-rule-based-run-1,10000,0.9491,0.9491,87.7825,54.67938046570435,8,7,,0,16.2,5,1,4
static-rule-based,static-rule-based-run-10,10000,0.9516,0.9516,74.3212,41.67538881883144,6,6,,0,9.8,5,1,3
static-rule-based,static-rule-based-run-2,10000,0.9519,0.9519,74.4045,49.01008509297195,8,7,,0,26.8,5,1,3
static-rule-based,static-rule-based-run-3,10000,0.9506,0.9506,67.0105,51.08037029244687,7,7,,0,15.6,5,1,4
static-rule-based,static-rule-based-run-4,10000,0.946,0.946,72.46,48.86427061310782,6,6,,0,8,5,1,4
static-rule-based,static-rule-based-run-5,10000,0.9498,0.9498,84.9417,52.94514634659929,7,6,,0,11.8,5,1,4
static-rule-based,static-rule-based-run-6,10000,0.9508,0.9508,72.9914,50.090660496424064,8,7,,0,13.4,5,1,3
static-rule-based,static-rule-based-run-7,10000,0.9461,0.9461,78.201,53.94546031074939,8,7,,0,19.4,5,1,5
static-rule-based,static-rule-based-run-8,10000,0.9493,0.9493,75.4418,55.934162014115664,7,6,,0,14.6,5,1,4
static-rule-based,static-rule-based-run-9,10000,0.9499,0.9499,74.2457,44.52405516370144,6,5,,0,18.6,5,1,4
cascading-failover,cascading-failover-run-1,10000,0.9414,1,46.1411,46.1411,5,5,8.802047781569966,586,25,2,1,3
cascading-failover,cascading-failover-run-10,10000,0.9412,1,40.3202,40.3202,5,5,7.945578231292517,588,9,2,1,2
cascading-failover,cascading-failover-run-2,10000,0.9383,1,31.0101,31.0101,5,5,7.061588330632091,617,17.5,2,1,3
cascading-failover,cascading-failover-run-3,10000,0.9411,1,37.5783,37.5783,5,5,7.98471986417657,589,10.5,2,1,2
cascading-failover,cascading-failover-run-4,10000,0.9429,1,43.0265,43.0265,5,5,8.236427320490368,571,11.5,2,1,2
cascading-failover,cascading-failover-run-5,10000,0.9445,1,49.2019,49.2019,6,6,9.484684684684686,555,24,2,1,2
cascading-failover,cascading-failover-run-6,10000,0.9359,1,27.5679,27.5679,6,6,6.711388455538222,641,13,2,1,2
cascading-failover,cascading-failover-run-7,10000,0.9393,1,36.3894,36.3894,5,5,7.7775947281713345,607,15.5,2,1,3
cascading-failover,cascading-failover-run-8,10000,0.9469,1,43.9924,43.9924,6,6,9.36723163841808,531,15,2,1,2
cascading-failover,cascading-failover-run-9,10000,0.9376,1,35.3299,35.3299,6,6,7.850961538461538,624,13,2,1,2
adaptive-health-scored,adaptive-health-scored-run-1,10000,0.9879,1,16.7672,16.7672,5,5,12.900826446280991,121,10.6,5,1,4
adaptive-health-scored,adaptive-health-scored-run-10,10000,0.9907,1,18.6628,18.6628,5,5,13.526881720430108,93,7.333333333333333,3,1,3
adaptive-health-scored,adaptive-health-scored-run-2,10000,0.9895,1,16.3416,16.3416,5,5,13.476190476190476,105,10.75,4,1,4
adaptive-health-scored,adaptive-health-scored-run-3,10000,0.9873,1,16.0396,16.0396,5,5,9.929133858267717,127,7.4,5,1,5
adaptive-health-scored,adaptive-health-scored-run-4,10000,0.9921,1,13.4727,13.4727,5,5,14.354430379746836,79,9.5,2,1,2
adaptive-health-scored,adaptive-health-scored-run-5,10000,0.9922,1,14.9089,14.9089,5,5,14.08974358974359,78,7.4,5,1,2
adaptive-health-scored,adaptive-health-scored-run-6,10000,0.9901,1,14.631,14.631,5,5,12.505050505050505,99,6.75,4,1,3
adaptive-health-scored,adaptive-health-scored-run-7,10000,0.9895,1,12.5586,12.5586,5,5,10.666666666666666,105,6.75,4,1,4
adaptive-health-scored,adaptive-health-scored-run-8,10000,0.9888,1,16.9194,16.9194,5,5,11.839285714285714,112,7,4,1,4
adaptive-health-scored,adaptive-health-scored-run-9,10000,0.9894,1,14.3637,14.3637,5,5,10.943396226415095,106,5.5,4,1,4
